Feature,Data Type,Missing Count,Missing Percentage,Unique Values
SK_ID_CURR,int64,0,0.0,307511
TARGET,int64,0,0.0,2
NAME_CONTRACT_TYPE,object,0,0.0,2
CODE_GENDER,object,0,0.0,3
FLAG_OWN_CAR,object,0,0.0,2
FLAG_OWN_REALTY,object,0,0.0,2
CNT_CHILDREN,int64,0,0.0,15
AMT_INCOME_TOTAL,float64,0,0.0,2548
AMT_CREDIT,float64,0,0.0,5603
AMT_ANNUITY,float64,12,0.0,13673
AMT_GOODS_PRICE,float64,278,0.09,1003
NAME_TYPE_SUITE,object,1292,0.42,8
NAME_INCOME_TYPE,object,0,0.0,8
NAME_EDUCATION_TYPE,object,0,0.0,5
NAME_FAMILY_STATUS,object,0,0.0,6
NAME_HOUSING_TYPE,object,0,0.0,6
REGION_POPULATION_RELATIVE,float64,0,0.0,81
DAYS_BIRTH,int64,0,0.0,17460
DAYS_EMPLOYED,int64,0,0.0,12574
DAYS_REGISTRATION,float64,0,0.0,15688
DAYS_ID_PUBLISH,int64,0,0.0,6168
OWN_CAR_AGE,float64,202929,65.99,63
FLAG_MOBIL,int64,0,0.0,2
FLAG_EMP_PHONE,int64,0,0.0,2
FLAG_WORK_PHONE,int64,0,0.0,2
FLAG_CONT_MOBILE,int64,0,0.0,2
FLAG_PHONE,int64,0,0.0,2
FLAG_EMAIL,int64,0,0.0,2
OCCUPATION_TYPE,object,96391,31.35,19
CNT_FAM_MEMBERS,float64,2,0.0,18
REGION_RATING_CLIENT,int64,0,0.0,3
REGION_RATING_CLIENT_W_CITY,int64,0,0.0,3
WEEKDAY_APPR_PROCESS_START,object,0,0.0,7
HOUR_APPR_PROCESS_START,int64,0,0.0,24
REG_REGION_NOT_LIVE_REGION,int64,0,0.0,2
REG_REGION_NOT_WORK_REGION,int64,0,0.0,2
LIVE_REGION_NOT_WORK_REGION,int64,0,0.0,2
REG_CITY_NOT_LIVE_CITY,int64,0,0.0,2
REG_CITY_NOT_WORK_CITY,int64,0,0.0,2
LIVE_CITY_NOT_WORK_CITY,int64,0,0.0,2
ORGANIZATION_TYPE,object,0,0.0,58
EXT_SOURCE_1,float64,173378,56.38,114585
EXT_SOURCE_2,float64,660,0.21,119832
EXT_SOURCE_3,float64,60965,19.83,815
APARTMENTS_AVG,float64,156061,50.75,2340
BASEMENTAREA_AVG,float64,179943,58.52,3781
YEARS_BEGINEXPLUATATION_AVG,float64,150007,48.78,286
YEARS_BUILD_AVG,float64,204488,66.5,150
COMMONAREA_AVG,float64,214865,69.87,3182
ELEVATORS_AVG,float64,163891,53.3,258
ENTRANCES_AVG,float64,154828,50.35,286
FLOORSMAX_AVG,float64,153020,49.76,404
FLOORSMIN_AVG,float64,208642,67.85,306
LANDAREA_AVG,float64,182590,59.38,3528
LIVINGAPARTMENTS_AVG,float64,210199,68.35,1869
LIVINGAREA_AVG,float64,154350,50.19,5200
NONLIVINGAPARTMENTS_AVG,float64,213514,69.43,387
NONLIVINGAREA_AVG,float64,169682,55.18,3291
APARTMENTS_MODE,float64,156061,50.75,761
BASEMENTAREA_MODE,float64,179943,58.52,3842
YEARS_BEGINEXPLUATATION_MODE,float64,150007,48.78,222
YEARS_BUILD_MODE,float64,204488,66.5,155
COMMONAREA_MODE,float64,214865,69.87,3129
ELEVATORS_MODE,float64,163891,53.3,27
ENTRANCES_MODE,float64,154828,50.35,31
FLOORSMAX_MODE,float64,153020,49.76,26
FLOORSMIN_MODE,float64,208642,67.85,26
LANDAREA_MODE,float64,182590,59.38,3564
LIVINGAPARTMENTS_MODE,float64,210199,68.35,737
LIVINGAREA_MODE,float64,154350,50.19,5302
NONLIVINGAPARTMENTS_MODE,float64,213514,69.43,168
NONLIVINGAREA_MODE,float64,169682,55.18,3328
APARTMENTS_MEDI,float64,156061,50.75,1149
BASEMENTAREA_MEDI,float64,179943,58.52,3773
YEARS_BEGINEXPLUATATION_MEDI,float64,150007,48.78,246
YEARS_BUILD_MEDI,float64,204488,66.5,152
COMMONAREA_MEDI,float64,214865,69.87,3203
ELEVATORS_MEDI,float64,163891,53.3,47
ENTRANCES_MEDI,float64,154828,50.35,47
FLOORSMAX_MEDI,float64,153020,49.76,50
FLOORSMIN_MEDI,float64,208642,67.85,48
LANDAREA_MEDI,float64,182590,59.38,3561
LIVINGAPARTMENTS_MEDI,float64,210199,68.35,1098
LIVINGAREA_MEDI,float64,154350,50.19,5282
NONLIVINGAPARTMENTS_MEDI,float64,213514,69.43,215
NONLIVINGAREA_MEDI,float64,169682,55.18,3324
FONDKAPREMONT_MODE,object,210295,68.39,5
HOUSETYPE_MODE,object,154297,50.18,4
TOTALAREA_MODE,float64,148431,48.27,5117
WALLSMATERIAL_MODE,object,156341,50.84,8
EMERGENCYSTATE_MODE,object,145755,47.4,3
OBS_30_CNT_SOCIAL_CIRCLE,float64,1021,0.33,34
DEF_30_CNT_SOCIAL_CIRCLE,float64,1021,0.33,11
OBS_60_CNT_SOCIAL_CIRCLE,float64,1021,0.33,34
DEF_60_CNT_SOCIAL_CIRCLE,float64,1021,0.33,10
DAYS_LAST_PHONE_CHANGE,float64,1,0.0,3774
FLAG_DOCUMENT_2,int64,0,0.0,2
FLAG_DOCUMENT_3,int64,0,0.0,2
FLAG_DOCUMENT_4,int64,0,0.0,2
FLAG_DOCUMENT_5,int64,0,0.0,2
FLAG_DOCUMENT_6,int64,0,0.0,2
FLAG_DOCUMENT_7,int64,0,0.0,2
FLAG_DOCUMENT_8,int64,0,0.0,2
FLAG_DOCUMENT_9,int64,0,0.0,2
FLAG_DOCUMENT_10,int64,0,0.0,2
FLAG_DOCUMENT_11,int64,0,0.0,2
FLAG_DOCUMENT_12,int64,0,0.0,2
