Feature,Coefficient,Absolute Coefficient
cat__NAME_INCOME_TYPE_Pensioner,-5.762161179492644,5.762161179492644
num__DAYS_EMPLOYED,4.673780166844059,4.673780166844059
cat__ORGANIZATION_TYPE_XNA,-4.564029516821454,4.564029516821454
cat__NAME_EDUCATION_TYPE_Academic degree,-2.354172942063198,2.354172942063198
cat__NAME_INCOME_TYPE_Working,1.8410067073900434,1.8410067073900434
cat__NAME_INCOME_TYPE_Commercial associate,1.7766304022470025,1.7766304022470025
cat__NAME_INCOME_TYPE_State servant,1.755449152951431,1.755449152951431
cat__ORGANIZATION_TYPE_Trade: type 5,-1.1074383231791374,1.1074383231791374
cat__NAME_INCOME_TYPE_Unemployed,0.9699785546035848,0.9699785546035848
cat__ORGANIZATION_TYPE_Trade: type 4,-0.9615983081661807,0.9615983081661807
cat__ORGANIZATION_TYPE_Realtor,0.8221843504305382,0.8221843504305382
cat__NAME_EDUCATION_TYPE_Lower secondary,0.7977155525951516,0.7977155525951516
cat__ORGANIZATION_TYPE_Transport: type 3,0.6922603000603397,0.6922603000603397
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.6289948092720747,0.6289948092720747
cat__ORGANIZATION_TYPE_Industry: type 8,0.5444232307555806,0.5444232307555806
cat__ORGANIZATION_TYPE_Legal Services,0.5264625987361571,0.5264625987361571
cat__NAME_INCOME_TYPE_Student,-0.5021225450559964,0.5021225450559964
num__EXT_SOURCE_3,-0.48823342095462646,0.48823342095462646
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.44683597663257707,0.44683597663257707
cat__ORGANIZATION_TYPE_Religion,-0.43169203261938627,0.43169203261938627
cat__ORGANIZATION_TYPE_Construction,0.42847531860963944,0.42847531860963944
cat__OCCUPATION_TYPE_IT staff,-0.4253340349032586,0.4253340349032586
num__EXT_SOURCE_2,-0.4003496453207805,0.4003496453207805
cat__ORGANIZATION_TYPE_Telecom,0.3984710261395475,0.3984710261395475
cat__ORGANIZATION_TYPE_Advertising,0.3736162960858683,0.3736162960858683
cat__ORGANIZATION_TYPE_Trade: type 1,0.36808834146135505,0.36808834146135505
cat__OCCUPATION_TYPE_Low-skill Laborers,0.35717069673534346,0.35717069673534346
cat__ORGANIZATION_TYPE_Military,-0.33701841236872365,0.33701841236872365
cat__ORGANIZATION_TYPE_Industry: type 3,0.3241842143777325,0.3241842143777325
cat__ORGANIZATION_TYPE_Transport: type 1,-0.3225543534502807,0.3225543534502807
cat__ORGANIZATION_TYPE_Trade: type 2,-0.3088785515186382,0.3088785515186382
cat__ORGANIZATION_TYPE_Restaurant,0.30754093725410275,0.30754093725410275
cat__ORGANIZATION_TYPE_Trade: type 3,0.30730306975761185,0.30730306975761185
cat__ORGANIZATION_TYPE_Self-employed,0.3027855763144555,0.3027855763144555
cat__ORGANIZATION_TYPE_Agriculture,0.2951415026172688,0.2951415026172688
cat__NAME_EDUCATION_TYPE_Higher education,0.2946568450669525,0.2946568450669525
cat__ORGANIZATION_TYPE_Cleaning,0.2779133090198197,0.2779133090198197
cat__NAME_HOUSING_TYPE_Office apartment,-0.25581933468268087,0.25581933468268087
cat__OCCUPATION_TYPE_Accountants,-0.25137731120893947,0.25137731120893947
cat__ORGANIZATION_TYPE_Postal,0.24759369620065638,0.24759369620065638
cat__ORGANIZATION_TYPE_Culture,0.23668054642925684,0.23668054642925684
cat__ORGANIZATION_TYPE_Police,-0.2358187432303921,0.2358187432303921
cat__ORGANIZATION_TYPE_Trade: type 7,0.23176495043943013,0.23176495043943013
cat__FLAG_OWN_CAR_Y,-0.22794721519136493,0.22794721519136493
cat__ORGANIZATION_TYPE_Industry: type 1,0.2261384156927799,0.2261384156927799
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.22549924960237422,0.22549924960237422
cat__ORGANIZATION_TYPE_Trade: type 6,-0.22347307182342288,0.22347307182342288
cat__ORGANIZATION_TYPE_Industry: type 9,-0.21915944997344586,0.21915944997344586
cat__CODE_GENDER_F,-0.21386174312375006,0.21386174312375006
cat__ORGANIZATION_TYPE_Transport: type 4,0.2078490983955425,0.2078490983955425
cat__NAME_INCOME_TYPE_Businessman,-0.20404268973158018,0.20404268973158018
cat__ORGANIZATION_TYPE_Security Ministries,-0.20352523775404774,0.20352523775404774
cat__ORGANIZATION_TYPE_Industry: type 4,0.19756494956452172,0.19756494956452172
cat__ORGANIZATION_TYPE_Mobile,0.19443481519986333,0.19443481519986333
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.18012506432351258,0.18012506432351258
cat__ORGANIZATION_TYPE_Industry: type 12,-0.17937035964060685,0.17937035964060685
cat__ORGANIZATION_TYPE_Security,0.17807160478523865,0.17807160478523865
cat__CODE_GENDER_M,0.1779009046748848,0.1779009046748848
cat__ORGANIZATION_TYPE_Industry: type 13,0.1677487602571999,0.1677487602571999
num__FLAG_DOCUMENT_3,0.1667526042220563,0.1667526042220563
cat__NAME_CONTRACT_TYPE_Revolving loans,-0.1653367230459453,0.1653367230459453
cat__ORGANIZATION_TYPE_Industry: type 5,-0.1625744770094504,0.1625744770094504
cat__CODE_GENDER_XNA,-0.1500089200477258,0.1500089200477258
cat__ORGANIZATION_TYPE_Hotel,-0.14890802290170174,0.14890802290170174
cat__OCCUPATION_TYPE_Security staff,0.1436035472538345,0.1436035472538345
cat__OCCUPATION_TYPE_Drivers,0.13935900340305635,0.13935900340305635
cat__ORGANIZATION_TYPE_Industry: type 11,0.13879295236900396,0.13879295236900396
cat__ORGANIZATION_TYPE_Housing,0.1310753125615154,0.1310753125615154
cat__ORGANIZATION_TYPE_Emergency,-0.12986640786171091,0.12986640786171091
cat__NAME_FAMILY_STATUS_Married,-0.12845262505049748,0.12845262505049748
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.1278045415126915,0.1278045415126915
cat__OCCUPATION_TYPE_Core staff,-0.1193741671011711,0.1193741671011711
cat__FLAG_OWN_REALTY_N,-0.11834431620384617,0.11834431620384617
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.11781741748256282,0.11781741748256282
cat__ORGANIZATION_TYPE_Industry: type 10,-0.1158771598087705,0.1158771598087705
cat__ORGANIZATION_TYPE_Transport: type 2,0.11460819165076931,0.11460819165076931
cat__ORGANIZATION_TYPE_Kindergarten,0.11339559635973923,0.11339559635973923
cat__ORGANIZATION_TYPE_Industry: type 6,-0.10888533037855726,0.10888533037855726
cat__ORGANIZATION_TYPE_Insurance,0.10861890099158011,0.10861890099158011
cat__ORGANIZATION_TYPE_Medicine,0.10729440753102287,0.10729440753102287
cat__OCCUPATION_TYPE_Cleaning staff,0.10719924005863446,0.10719924005863446
cat__OCCUPATION_TYPE_Managers,-0.10517535873136076,0.10517535873136076
cat__OCCUPATION_TYPE_High skill tech staff,-0.10388245746987482,0.10388245746987482
cat__ORGANIZATION_TYPE_Other,0.10295731045300398,0.10295731045300398
cat__ORGANIZATION_TYPE_Industry: type 2,0.10233529918768959,0.10233529918768959
num__FLAG_DOCUMENT_4,-0.10016537607427503,0.10016537607427503
cat__NAME_TYPE_SUITE_Other_A,-0.0960642583649635,0.0960642583649635
num__FLAG_DOCUMENT_6,0.09413324455264718,0.09413324455264718
cat__OCCUPATION_TYPE_Private service staff,-0.09347516684392587,0.09347516684392587
num__DAYS_BIRTH,0.09311073749377911,0.09311073749377911
cat__NAME_HOUSING_TYPE_Municipal apartment,0.09285809658652168,0.09285809658652168
cat__NAME_FAMILY_STATUS_Unknown,-0.0923472314839432,0.0923472314839432
cat__ORGANIZATION_TYPE_Government,0.08168979585916082,0.08168979585916082
cat__OCCUPATION_TYPE_Cooking staff,0.08080049428711149,0.08080049428711149
cat__NAME_HOUSING_TYPE_House / apartment,-0.07959555619432306,0.07959555619432306
num__REGION_RATING_CLIENT,0.07759615676790425,0.07759615676790425
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,-0.07550056569870006,0.07550056569870006
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,-0.0726433402990574,0.0726433402990574
"cat__NAME_TYPE_SUITE_Spouse, partner",-0.07138955920675491,0.07138955920675491
cat__NAME_HOUSING_TYPE_Rented apartment,0.07066528907746938,0.07066528907746938
num__DAYS_ID_PUBLISH,0.06932967131842165,0.06932967131842165
num__AMT_ANNUITY,0.06825627621987386,0.06825627621987386
cat__ORGANIZATION_TYPE_Services,0.06795331322261346,0.06795331322261346
cat__FLAG_OWN_REALTY_Y,-0.06762544229256834,0.06762544229256834
num__REG_CITY_NOT_LIVE_CITY,0.06745179953034589,0.06745179953034589
cat__ORGANIZATION_TYPE_University,0.06660201930560972,0.06660201930560972
cat__ORGANIZATION_TYPE_Industry: type 7,0.0654510621894293,0.0654510621894293
cat__OCCUPATION_TYPE_Secretaries,0.06526397588216032,0.06526397588216032
cat__ORGANIZATION_TYPE_Electricity,0.06476814691745211,0.06476814691745211
cat__ORGANIZATION_TYPE_Bank,-0.06350219616280477,0.06350219616280477
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,-0.062230188772603515,0.062230188772603515
cat__NAME_INCOME_TYPE_Maternity leave,-0.06070816140841283,0.06070816140841283
cat__NAME_FAMILY_STATUS_Widow,-0.05951522673852299,0.05951522673852299
num__DAYS_LAST_PHONE_CHANGE,0.05850646119903822,0.05850646119903822
num__FLAG_DOCUMENT_13,-0.05586920352514372,0.05586920352514372
cat__NAME_FAMILY_STATUS_Civil marriage,0.05405633486528102,0.05405633486528102
num__LIVE_REGION_NOT_WORK_REGION,-0.05274316491825718,0.05274316491825718
cat__OCCUPATION_TYPE_HR staff,-0.05236729481991701,0.05236729481991701
cat__NAME_HOUSING_TYPE_With parents,-0.052154729925883554,0.052154729925883554
num__AMT_REQ_CREDIT_BUREAU_QRT,-0.05094925531455657,0.05094925531455657
num__FLAG_DOCUMENT_16,-0.050834211331827035,0.050834211331827035
num__FLAG_WORK_PHONE,0.05037405045618513,0.05037405045618513
num__REG_REGION_NOT_WORK_REGION,0.049109334916909726,0.049109334916909726
cat__OCCUPATION_TYPE_Medicine staff,-0.04747373712373325,0.04747373712373325
num__FLAG_DOCUMENT_18,-0.046945674263810064,0.046945674263810064
cat__OCCUPATION_TYPE_Realty agents,-0.045214304989793515,0.045214304989793515
num__FLAG_PHONE,-0.04425984358790419,0.04425984358790419
num__FLAG_DOCUMENT_10,-0.043592333270267083,0.043592333270267083
num__REG_REGION_NOT_LIVE_REGION,-0.042772430584430136,0.042772430584430136
cat__FLAG_OWN_CAR_N,0.04197745669502148,0.04197745669502148
num__DEF_60_CNT_SOCIAL_CIRCLE,0.04099600294690175,0.04099600294690175
num__FLAG_DOCUMENT_8,0.040339380994067774,0.040339380994067774
num__DEF_30_CNT_SOCIAL_CIRCLE,0.039268589999376546,0.039268589999376546
cat__NAME_HOUSING_TYPE_Co-op apartment,0.03807647664247918,0.03807647664247918
cat__NAME_TYPE_SUITE_Other_B,0.03682739246131375,0.03682739246131375
cat__NAME_TYPE_SUITE_Group of people,-0.036430271982571656,0.036430271982571656
num__LIVE_CITY_NOT_WORK_CITY,0.03556364867718488,0.03556364867718488
num__DAYS_REGISTRATION,0.03533178201550091,0.03533178201550091
num__FLAG_DOCUMENT_14,-0.03480037993656104,0.03480037993656104
num__FLAG_DOCUMENT_15,-0.03476377114208232,0.03476377114208232
num__FLAG_DOCUMENT_5,0.034704068811961156,0.034704068811961156
cat__NAME_TYPE_SUITE_Children,0.03346283410494875,0.03346283410494875
