Feature,Importance
num__EXT_SOURCE_2,0.1946949200726863
num__EXT_SOURCE_3,0.1932988071039653
num__DAYS_BIRTH,0.052704690437682805
num__DAYS_EMPLOYED,0.05183088641817195
num__DAYS_LAST_PHONE_CHANGE,0.037196121071584626
num__AMT_CREDIT,0.03282811177946205
num__DAYS_ID_PUBLISH,0.030521663071110657
cat__NAME_EDUCATION_TYPE_Higher education,0.02787291692680983
num__AMT_ANNUITY,0.025552597336333097
num__DAYS_REGISTRATION,0.02450347867002599
num__REGION_POPULATION_RELATIVE,0.021095015368045637
cat__CODE_GENDER_F,0.018371941443105597
num__AMT_INCOME_TOTAL,0.01615892876115794
cat__CODE_GENDER_M,0.015666231080637034
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.015433480077183741
cat__NAME_INCOME_TYPE_Working,0.014468784488680102
num__REGION_RATING_CLIENT,0.01394577921277751
num__HOUR_APPR_PROCESS_START,0.012217711352495449
num__FLAG_DOCUMENT_3,0.01145619725280761
num__REG_CITY_NOT_WORK_CITY,0.008833531123876373
cat__ORGANIZATION_TYPE_XNA,0.008768263196404783
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.008225480850584053
num__OBS_30_CNT_SOCIAL_CIRCLE,0.0076096495616876795
cat__NAME_INCOME_TYPE_Pensioner,0.00702808867175198
cat__NAME_CONTRACT_TYPE_Revolving loans,0.0069341211525881415
num__REG_CITY_NOT_LIVE_CITY,0.006918418183357939
cat__FLAG_OWN_CAR_N,0.006621315833801203
cat__NAME_CONTRACT_TYPE_Cash loans,0.006569620978239792
cat__FLAG_OWN_CAR_Y,0.006522974442684901
cat__NAME_FAMILY_STATUS_Married,0.005736535730670832
num__CNT_FAM_MEMBERS,0.005329491338862988
num__DEF_30_CNT_SOCIAL_CIRCLE,0.0044575093879816174
num__DEF_60_CNT_SOCIAL_CIRCLE,0.004159549620648139
num__CNT_CHILDREN,0.0039056307420369685
num__FLAG_PHONE,0.0033576247195377575
num__AMT_REQ_CREDIT_BUREAU_QRT,0.003272391266336839
num__LIVE_CITY_NOT_WORK_CITY,0.003093338211132945
