Feature,Importance
num__EXT_SOURCE_3,0.032520626
num__EXT_SOURCE_2,0.03012052
cat__CODE_GENDER_M,0.024835076
cat__NAME_EDUCATION_TYPE_Higher education,0.022906546
cat__CODE_GENDER_F,0.018624274
cat__NAME_INCOME_TYPE_Pensioner,0.015208643
cat__ORGANIZATION_TYPE_XNA,0.014899689
cat__NAME_INCOME_TYPE_Working,0.013918905
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.012715831
num__FLAG_DOCUMENT_3,0.01251895
cat__FLAG_OWN_CAR_N,0.011495275
cat__FLAG_OWN_CAR_Y,0.011164184
num__REG_CITY_NOT_LIVE_CITY,0.010496402
cat__NAME_CONTRACT_TYPE_Cash loans,0.010370696
cat__NAME_FAMILY_STATUS_Married,0.010164216
num__DEF_60_CNT_SOCIAL_CIRCLE,0.009135979
num__REGION_RATING_CLIENT,0.008945355
cat__NAME_CONTRACT_TYPE_Revolving loans,0.008338598
num__DAYS_BIRTH,0.008088755
cat__ORGANIZATION_TYPE_Transport: type 3,0.007965364
num__FLAG_DOCUMENT_16,0.0077820034
num__DAYS_EMPLOYED,0.007606554
cat__ORGANIZATION_TYPE_Self-employed,0.007363569
num__AMT_CREDIT,0.0072431643
cat__ORGANIZATION_TYPE_Restaurant,0.007173324
num__FLAG_DOCUMENT_13,0.007055718
num__DEF_30_CNT_SOCIAL_CIRCLE,0.0070233
cat__OCCUPATION_TYPE_Core staff,0.0068745846
cat__ORGANIZATION_TYPE_Trade: type 2,0.006857253
num__REG_CITY_NOT_WORK_CITY,0.006739979
num__AMT_REQ_CREDIT_BUREAU_QRT,0.006738153
cat__ORGANIZATION_TYPE_Construction,0.0067011523
cat__OCCUPATION_TYPE_Accountants,0.0066933893
cat__NAME_HOUSING_TYPE_House / apartment,0.006671184
cat__OCCUPATION_TYPE_Sales staff,0.00657698
num__AMT_ANNUITY,0.006560113
cat__ORGANIZATION_TYPE_Industry: type 4,0.00655393
cat__ORGANIZATION_TYPE_Industry: type 9,0.0064249747
num__FLAG_DOCUMENT_18,0.006409888
cat__OCCUPATION_TYPE_Low-skill Laborers,0.0063682212
cat__ORGANIZATION_TYPE_Military,0.006335223
num__FLAG_DOCUMENT_11,0.0063294484
cat__ORGANIZATION_TYPE_Emergency,0.0061517046
cat__ORGANIZATION_TYPE_School,0.006110767
num__AMT_REQ_CREDIT_BUREAU_DAY,0.0060998467
num__DAYS_LAST_PHONE_CHANGE,0.005967072
cat__NAME_INCOME_TYPE_State servant,0.005961253
num__DAYS_ID_PUBLISH,0.005919353
cat__ORGANIZATION_TYPE_Security Ministries,0.0058576395
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0057879523
num__FLAG_WORK_PHONE,0.0057782843
cat__OCCUPATION_TYPE_Drivers,0.005725464
num__FLAG_DOCUMENT_14,0.0057046684
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.005569333
num__FLAG_PHONE,0.0054719825
cat__FLAG_OWN_REALTY_Y,0.0054041515
cat__OCCUPATION_TYPE_Private service staff,0.0053947163
cat__NAME_TYPE_SUITE_Children,0.0053728786
cat__ORGANIZATION_TYPE_Bank,0.0053478116
cat__NAME_FAMILY_STATUS_Single / not married,0.005338108
cat__ORGANIZATION_TYPE_Electricity,0.0053268434
num__FLAG_DOCUMENT_7,0.005309641
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.005274875
cat__ORGANIZATION_TYPE_Transport: type 1,0.005232295
num__FLAG_DOCUMENT_15,0.0052239136
cat__ORGANIZATION_TYPE_Police,0.0052166115
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.005209381
cat__OCCUPATION_TYPE_High skill tech staff,0.0052088145
cat__ORGANIZATION_TYPE_Kindergarten,0.0050762086
cat__OCCUPATION_TYPE_Security staff,0.005055158
cat__OCCUPATION_TYPE_IT staff,0.0050485437
cat__OCCUPATION_TYPE_Secretaries,0.005040207
cat__NAME_FAMILY_STATUS_Widow,0.005038296
num__AMT_INCOME_TOTAL,0.0050279764
cat__ORGANIZATION_TYPE_Industry: type 7,0.005002217
num__REGION_POPULATION_RELATIVE,0.0050010555
num__REG_REGION_NOT_LIVE_REGION,0.0049868925
cat__ORGANIZATION_TYPE_Insurance,0.0049669147
num__AMT_REQ_CREDIT_BUREAU_MON,0.004966774
num__CNT_FAM_MEMBERS,0.0049665016
cat__NAME_HOUSING_TYPE_Rented apartment,0.004932012
cat__OCCUPATION_TYPE_Cleaning staff,0.004878982
num__DAYS_REGISTRATION,0.004878383
cat__NAME_HOUSING_TYPE_Office apartment,0.0048389086
cat__ORGANIZATION_TYPE_Business Entity Type 3,0.0048079025
cat__NAME_TYPE_SUITE_Other_A,0.004779941
num__OBS_30_CNT_SOCIAL_CIRCLE,0.0047735167
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.004765562
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0047112573
cat__ORGANIZATION_TYPE_Transport: type 4,0.004706968
cat__NAME_TYPE_SUITE_Unaccompanied,0.004706372
cat__ORGANIZATION_TYPE_Advertising,0.0046931724
cat__NAME_TYPE_SUITE_Family,0.004682615
cat__ORGANIZATION_TYPE_Trade: type 1,0.004679022
cat__ORGANIZATION_TYPE_Industry: type 12,0.0046331394
num__HOUR_APPR_PROCESS_START,0.004592847
cat__ORGANIZATION_TYPE_Industry: type 5,0.0045822985
cat__NAME_HOUSING_TYPE_Co-op apartment,0.0045730853
